name,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,QC_1,QC_2,S01,S02,S03,S04,S05,S06,S07,S08
M803T231,803.9165,803.9145000000001,803.9185,231.1,228.1,234.1,10,41321.5,120097.4,972992.2,930243.6,866261.2,260688.3,945756.4,596550.9,218427.8,142228.1
M247T251,247.2607,247.2587,247.26270000000002,251.8,248.8,254.8,6,819014.3,372437.4,78856.8,NA,484023.5,796048.0,155397.6,653405.3,271895.7,668143.1
M422T74,422.6332,422.6312,422.6352,74.7,71.7,77.7,8,19195.0,802417.8,391340.4,942045.4,157410.3,91397.5,365362.4,130845.1,NA,806661.8
M405T528,405.3097,405.3077,405.31170000000003,528.4,525.4,531.4,8,172514.0,162652.9,68029.6,753802.3,804905.0,837455.0,NA,315211.4,636731.4,NA
M664T628,664.0944,664.0924,664.0963999999999,628.7,625.7,631.7,5,856731.0,615114.4,473482.3,42670.9,157322.4,150317.7,815834.1,883978.7,672581.2,324878.6
M399T426,399.6659,399.6639,399.66790000000003,426.5,423.5,429.5,7,308903.4,389822.8,504074.8,4504.6,465807.9,618956.7,836708.6,400942.0,NA,365967.0
M737T468,737.8712,737.8692000000001,737.8732,468.8,465.8,471.8,3,NA,922203.9,720673.1,NA,894972.6,784458.5,NA,NA,692857.0,132485.9
M806T280,806.2699,806.2679,806.2719,280.5,277.5,283.5,5,721358.2,833203.0,252968.5,613918.2,456946.4,964363.5,592295.9,238161.8,199743.2,636935.2
M308T315,308.1225,308.1205,308.1245,315.2,312.2,318.2,9,785084.4,531190.5,360419.3,555624.9,882652.4,992961.7,394862.2,265489.4,577783.2,764874.6
M442T183,442.6709,442.6689,442.6729,183.8,180.8,186.8,3,516590.7,965991.3,928530.8,733305.7,222415.9,625992.4,364734.9,NA,612906.9,NA
M124T523,124.6023,124.6003,124.6043,523.4,520.4,526.4,7,357794.4,584007.3,204980.2,475426.9,936654.3,150163.8,NA,871414.3,402550.9,12484.5
M608T519,608.8568,608.8548000000001,608.8588,519.2,516.2,522.2,8,578894.0,518064.9,165934.1,NA,NA,NA,160057.4,105812.9,657143.1,413765.1
M504T589,504.9716,504.9696,504.97360000000003,589.1,586.1,592.1,9,175464.8,300965.9,NA,783191.2,7343.1,745442.3,742013.2,226722.5,233064.4,NA
M355T682,355.1232,355.1212,355.1252,682.2,679.2,685.2,7,266721.7,436616.7,523721.4,642361.2,217778.5,16212.5,236873.2,944753.2,327544.5,329225.2
M276T819,276.1176,276.1156,276.1196,819.6,816.6,822.6,10,531087.7,NA,NA,234594.7,789413.2,585747.0,172374.5,NA,622347.2,977430.7
